Beginning of the Great Revival	2.4	Drama, History
Celal and Ceren	2.5	Comedy, Romance
Catwoman	3.3	Action, Crime, Fantasy
Sharknado	3.3	Comedy, Horror, Sci-Fi
A Matter of Faith	3.4	Drama
Standing Ovation	3.4	Musical
Yamla Pagla Deewana 2	3.4	Action, Comedy, Drama
Besharam	3.6	Comedy, Romance
Horrid Henry: The Movie	3.7	Adventure, Comedy, Family
Mr. Magoo	3.9	Adventure, Comedy, Family
Recep Ivedik 4	3.9	Comedy
The Canyons	3.9	Drama, Thriller
The Disappointments Room	3.9	Drama, Horror, Thriller
Are We Done Yet?	4.0	Comedy, Family, Fantasy
Recep Ivedik 3	4.1	Comedy
Sharknado 2: The Second One	4.1	Horror, Sci-Fi
The Hero of Color City	4.1	Animation, Family
Grease 2	4.2	Comedy, Drama, Musical
Hannah Montana: The Movie	4.2	Comedy, Drama, Family
Jinn	4.2	Thriller
Mean Girls 2	4.2	Comedy
V/H/S: Viral	4.2	Horror, Thriller
Vice	4.2	Action, Adventure, Sci-Fi
Five Nights in Maine	4.3	Drama
LOL	4.3	Comedy, Drama, Romance
Recep İvedik 2	4.3	Comedy
Zoom	4.3	Action, Adventure, Comedy
Christian Mingle	4.4	Comedy, Romance
The Human Centipede: First Sequence	4.4	Horror
Code Name: The Cleaner	4.5	Action, Comedy, Crime
Are We There Yet?	4.6	Adventure, Comedy, Family
Bodyguard	4.6	Action, Romance
The Prince	4.6	Action, Thriller
The ABCs of Death	4.7	Comedy, Horror
The Masked Saint	4.7	Action, Biography, Crime
XX	4.7	Horror
Alien Abduction	4.8	Horror, Sci-Fi, Thriller
High School Musical 2	4.8	Comedy, Drama, Family
Prem Ratan Dhan Payo	4.8	Action, Drama, Musical
Recep Ivedik	4.8	Comedy
The Forest	4.8	Horror, Mystery, Thriller
The Man in 3B	4.8	Mystery
The Ridiculous 6	4.8	Comedy, Western
The Unborn	4.8	Drama, Horror, Mystery
When the Bough Breaks	4.8	Crime, Drama, Horror
Zombeavers	4.8	Comedy, Horror
Boat Trip	4.9	Comedy
David and Goliath	4.9	Action, Adventure, Drama
Mothers and Daughters	4.9	Drama
Scooby-Doo	4.9	Adventure, Comedy, Family
Camp Rock	5.0	Comedy, Family, Music
Extraterrestrial	5.0	Horror, Sci-Fi
Rage	5.0	Action, Crime, Thriller
Scooby-Doo 2: Monsters Unleashed	5.0	Animation, Adventure, Comedy
Toys	5.0	Adventure, Comedy, Drama
Welcome to the Jungle	5.0	Action, Adventure, Comedy
Carter High	5.1	Crime, Drama, Sport
Cats & Dogs	5.1	Action, Comedy, Family
Everly	5.1	Action, Thriller
Get Rich or Die Tryin'	5.1	Biography, Crime, Drama
Lost in Space	5.1	Action, Adventure, Family
Malibu's Most Wanted	5.1	Comedy, Crime
Blank Check	5.2	Comedy, Crime, Family
Camp Rock 2: The Final Jam	5.2	Comedy, Family, Music
Christmas with the Kranks	5.2	Comedy, Family
Happy New Year	5.2	Action, Comedy, Crime
High School Musical	5.2	Comedy, Drama, Family
Open Windows	5.2	Crime, Thriller
Pay the Ghost	5.2	Drama, Horror, Mystery
Phantom of the Theatre	5.2	Fantasy, Horror, Mystery
Racing Stripes	5.2	Adventure, Comedy, Drama
Twilight	5.2	Drama, Fantasy, Romance
Captive	5.3	Crime, Drama, Thriller
Contracted	5.3	Drama, Horror, Thriller
Dilwale	5.3	Action, Comedy, Crime
Hell and Back	5.3	Animation, Adventure, Comedy
Krrish 3	5.3	Action, Adventure, Romance
Scary Movie 2	5.3	Comedy
Spy Hard	5.3	Comedy, Action
The Bag Man	5.3	Crime, Drama, Thriller
The Colony	5.3	Action, Horror, Sci-Fi
The Watcher	5.3	Crime, Horror, Mystery
Trespass	5.3	Crime, Thriller
Forces of Nature	5.4	Comedy, Romance
Infini	5.4	Horror, Sci-Fi, Thriller
Killers	5.4	Action, Comedy, Romance
Men Go to Battle	5.4	Comedy, Drama, History
Serena	5.4	Drama, Romance
Snow Girl and the Dark Crystal	5.4	Action, Fantasy, Romance
The Lizzie McGuire Movie	5.4	Adventure, Comedy, Family
The Trust	5.4	Crime, Drama, Thriller
[Rec] 4: Apocalypse	5.4	Action, Horror
A Very Murray Christmas	5.5	Comedy, Music, Musical
Bad Ass	5.5	Action, Comedy, Crime
Beauty & the Briefcase	5.5	Comedy, Romance
Cadet Kelly	5.5	Comedy, Drama, Family
Casa de mi Padre	5.5	Comedy, Western
Daddy Day Care	5.5	Comedy, Family
Daddy's Little Girls	5.5	Drama, Romance
Do I Sound Gay?	5.5	Documentary
Dreamcatcher	5.5	Drama, Horror, Sci-Fi
Happy Christmas	5.5	Comedy, Drama
Judge Dredd	5.5	Action, Crime, Sci-Fi
Lost In Hong Kong	5.5	Action, Adventure, Comedy
Mr. 3000	5.5	Comedy, Drama, Romance
Picture Perfect	5.5	Comedy, Drama, Romance
RV	5.5	Adventure, Comedy, Family
Rock the Kasbah	5.5	Comedy, Music, War
Scary Movie 3	5.5	Comedy
Stolen	5.5	Action, Crime, Drama
The Day the Earth Stood Still	5.5	Drama, Sci-Fi, Thriller
The Falling	5.5	Drama, Mystery
White Chicks	5.5	Comedy, Crime
Adult Beginners	5.6	Comedy, Drama
Creep	5.6	Horror, Mystery, Thriller
Curse of Chucky	5.6	Horror, Thriller
Fighting	5.6	Action, Drama, Sport
Horsemen	5.6	Crime, Drama, Mystery
King Cobra	5.6	Crime, Drama
Manglehorn	5.6	Drama
Meet the Blacks	5.6	Comedy, Horror
Survivor	5.6	Action, Crime, Thriller
The Abandoned	5.6	Horror, Mystery, Thriller
The Benchwarmers	5.6	Action, Comedy, Family
The Comedian	5.6	Comedy
The Man with One Red Shoe	5.6	Comedy, Thriller
The Numbers Station	5.6	Action, Thriller
The Shrine	5.6	Horror
Vampire Academy	5.6	Action, Comedy, Fantasy
We Are Family	5.6	Drama, Family
Wild Oats	5.6	Action, Adventure, Comedy
A Few Best Men	5.7	Comedy, Romance
Clown	5.7	Horror, Thriller
Gambit	5.7	Comedy, Crime
Good Burger	5.7	Comedy, Family
Grace of Monaco	5.7	Biography, Drama, Romance
High-Rise	5.7	Drama
Honeymoon	5.7	Horror, Mystery, Thriller
I Give It a Year	5.7	Comedy, Romance
Joyful Noise	5.7	Comedy, Drama, Music
Knights of Badassdom	5.7	Adventure, Comedy, Fantasy
Last Shift	5.7	Horror, Mystery, Thriller
Looney Tunes: Back in Action	5.7	Animation, Action, Adventure
Love and Honor	5.7	Drama, Romance, War
Michael	5.7	Comedy, Drama, Fantasy
Mulan 2	5.7	Animation, Action, Comedy
Nacho Libre	5.7	Comedy, Family, Sport
Perfect Stranger	5.7	Crime, Mystery, Thriller
Princess Protection Program	5.7	Comedy, Drama, Family
Singh Is Kinng	5.7	Action, Comedy, Crime
Skiptrace	5.7	Action, Adventure, Comedy
Son Of God	5.7	Biography, Drama, History
Spa Night	5.7	Drama
Tasting Menu	5.7	Comedy
The Angriest Man in Brooklyn	5.7	Comedy, Drama
The Do-Over	5.7	Action, Adventure, Comedy
The Hallow	5.7	Horror
The Lifeguard	5.7	Drama, Romance
The Secret	5.7	Documentary
The Sitter	5.7	Comedy
We Are Still Here	5.7	Horror
Wild City	5.7	Action, Crime, Thriller
Around the World in 80 Days	5.8	Action, Adventure, Comedy
Babe: Pig in the City	5.8	Adventure, Comedy, Drama
Chicken Little	5.8	Animation, Adventure, Comedy
Cradle 2 the Grave	5.8	Action, Crime, Drama
Cyberbully	5.8	Drama
Finding Fanny	5.8	Comedy, Drama, Romance
Friday After Next	5.8	Comedy, Drama
Hits	5.8	Comedy, Drama
Kevin Hart: What Now?	5.8	Documentary, Comedy
Lila & Eve	5.8	Action, Crime, Drama
Masterminds	5.8	Action, Comedy, Crime
Mortal Kombat	5.8	Action, Adventure, Fantasy
Never Back Down 2: The Beatdown	5.8	Action, Drama, Sport
Radio Free Albemuth	5.8	Drama, Sci-Fi
Slow Learners	5.8	Comedy, Romance
Special Correspondents	5.8	Comedy
The Break-Up	5.8	Comedy, Drama, Romance
The Cobbler	5.8	Comedy, Drama, Fantasy
The Divide	5.8	Drama, Horror, Sci-Fi
The Gunman	5.8	Action, Crime, Drama
The Heartbreak Kid	5.8	Comedy, Romance
The Pact	5.8	Horror, Mystery, Thriller
The Reef	5.8	Horror, Thriller
The Three Musketeers	5.8	Action, Adventure, Romance
White Girl	5.8	Drama
Would You Rather	5.8	Horror
xXx	5.8	Action, Adventure, Thriller
After the Ball	5.9	Comedy
Blind Date	5.9	Comedy, Romance
Blue Mountain State: The Rise of Thadland	5.9	Comedy, Sport
Free Willy	5.9	Adventure, Drama, Family
Harry and the Hendersons	5.9	Comedy, Family, Fantasy
Haunter	5.9	Horror, Mystery, Thriller
Hope Floats	5.9	Drama, Romance
Hyde Park on Hudson	5.9	Biography, Comedy, Drama
I'll Sleep When I'm Dead	5.9	Crime, Drama, Mystery
Jane Got a Gun	5.9	Action, Drama, Western
Kill Me Three Times	5.9	Action, Comedy, Thriller
