The Secret Life of the American Teenager	5.0	Comedy, Drama, Family
The Cleveland Show	5.6	Animation, Comedy
Jessie	5.9	Comedy, Family
Between	6.0	Drama, Mystery, Sci-Fi
90210	6.1	Comedy, Drama, Romance
CSI: Miami	6.4	Action, Crime, Drama
Mighty Morphin Power Rangers	6.4	Action, Adventure, Family
Lipstick Jungle	6.5	Comedy, Drama
Magnificent Century	6.5	Biography, Drama, History
Supergirl	6.6	Action, Adventure, Drama
Transporter: The Series	6.6	Action, Crime
Glee	6.7	Comedy, Drama, Music
Revolution	6.7	Action, Adventure, Drama
The Client List	6.7	Drama
Z Nation	6.7	Action, Comedy, Drama
Helix	6.8	Horror, Mystery, Sci-Fi
Hostages	6.8	Drama, Romance, Thriller
Hostages	6.8	Drama, Romance, Thriller
Party of Five	6.8	Drama, Family
Terra Nova	6.8	Adventure, Mystery, Sci-Fi
The Mysteries of Laura	6.8	Comedy, Crime, Mystery
Persons Unknown	6.9	Drama, Mystery, Thriller
Ringer	6.9	Crime, Drama, Mystery
The Bernie Mac Show	6.9	Comedy, Drama, Family
A Gifted Man	7.0	Drama, Fantasy
CSI: NY	7.0	Action, Crime, Drama
Crossing Jordan	7.0	Crime, Drama, Mystery
From Dusk Till Dawn: The Series	7.0	Action, Crime, Horror
The Carrie Diaries	7.0	Comedy, Romance
Yu-Gi-Oh!	7.0	Animation, Action, Adventure
Zoo	7.0	Drama, Sci-Fi, Thriller
Bitten	7.1	Drama, Fantasy, Horror
Charmed	7.1	Drama, Fantasy, Mystery
Fuller House	7.1	Comedy, Family
Happy Tree Friends	7.1	Animation, Comedy
Low Winter Sun	7.1	Crime, Drama
Quantico	7.1	Crime, Drama, Mystery
Royal Pains	7.1	Comedy, Drama
Shark	7.1	Crime, Drama, Mystery
The Crazy Ones	7.1	Comedy
Army Wives	7.2	Drama, Romance, War
Ascension	7.2	Drama, Sci-Fi
Containment	7.2	Drama
Girl Meets World	7.2	Comedy, Drama, Family
Girlboss	7.2	Comedy
H2O: Just Add Water	7.2	Adventure, Drama, Family
Hemlock Grove	7.2	Horror, Mystery, Thriller
Salem	7.2	Drama, Fantasy, Thriller
The Catch	7.2	Crime, Drama, Thriller
The Gates	7.2	Crime, Drama, Fantasy
The Grinder	7.2	Comedy
Tin Man	7.2	Adventure, Fantasy, Sci-Fi
Breakout Kings	7.3	Crime, Drama, Thriller
Brickleberry	7.3	Animation, Comedy
Colony	7.3	Action, Adventure, Drama
Don't Trust the B---- in Apartment 23	7.3	Comedy
Flaked	7.3	Comedy
The Batman	7.3	Animation, Action, Adventure
The Tomorrow People	7.3	Action, Drama, Sci-Fi
Wynonna Earp	7.3	Action, Drama, Fantasy
American Dad!	7.4	Animation, Comedy
Baby Daddy	7.4	Comedy, Drama, Family
Battle Creek	7.4	Comedy, Crime, Drama
Crossing Lines	7.4	Action, Crime, Drama
Drop Dead Diva	7.4	Comedy, Drama
Gossip Girl	7.4	Drama, Romance
Hawaii Five-0	7.4	Action, Crime, Drama
Houdini	7.4	Biography, Drama
Marcella	7.4	Crime, Drama, Thriller
Star-Crossed	7.4	Drama, Romance, Sci-Fi
The 4400	7.4	Sci-Fi, Drama, Mystery
The Secret Circle	7.4	Drama, Fantasy, Horror
